from_id	to_id	weight
27423	2449	1
27427	2465	1
27427	2467	1
27429	2475	1
27429	2476	1
27433	2501	1
27433	2502	1
27433	2503	1
27437	2589	1
27442	2644	1
27443	2645	1
27445	2645	1
27445	2651	1
27445	2653	1
27445	2654	1
27445	2655	1
27452	2702	1
27453	2705	1
27453	2707	1
27453	2708	1
27453	2709	1
27455	2720	1
27455	2722	1
27455	2723	1
27462	2763	1
27462	2766	1
27474	2841	1
27474	2843	1
27474	2844	1
27474	2846	1
27476	2863	1
27476	2866	1
27478	2894	1
27481	2900	1
27481	2901	1
27485	2910	1
27485	2911	1
27485	2912	1
27485	2913	1
27486	2910	1
27486	2914	1
27486	2915	1
27486	2916	1
27493	2933	1
27493	2934	1
27498	2973	1
27498	2976	1
27498	2978	1
27503	3028	1
27503	3029	1
27503	3030	1
27503	3031	1
27504	3042	1
27506	3046	1
27512	3063	1
27513	3068	1
27513	3069	1
27518	3084	1
27518	3085	1
27527	3118	1
27529	2503	1
27529	3118	1
27529	3129	1
27536	3156	1
27538	3161	1
27538	3163	1
27539	3161	1
27539	3163	1
27540	2756	1
27540	3161	1
27540	3163	1
27541	3165	1
27541	3166	1
27542	3170	1
27547	3176	1
27547	3177	1
27549	3188	1
27549	3189	1
27557	3217	1
27558	3218	1
27562	3227	1
27563	3233	1
27564	3236	1
27564	3237	1
27568	2467	1
27568	3248	1
27568	3249	1
27568	3250	1
27569	3030	1
27581	3309	1
27590	3327	1
27593	3353	1
27594	3353	1
27605	3378	1
27612	2478	1
27612	3397	1
27615	3409	1
27616	3409	1
27618	3417	1
27620	12549	1
27622	2939	1
27624	3454	1
27624	3456	1
27635	3301	1
27635	3464	1
27637	3480	1
27637	3482	1
27638	3480	1
27638	3484	1
27638	3487	1
27639	3480	1
27639	3484	1
27639	3488	1
27640	3322	1
27640	3480	1
27640	3489	1
27655	3578	1
27656	3580	1
27656	3581	1
27659	3594	1
27666	2766	1
27667	3635	1
27668	3637	1
27668	3639	1
27668	3640	1
27670	2766	1
27670	3643	1
27670	3644	1
27670	3645	1
27670	3646	1
27670	3647	1
27673	3181	1
27673	3187	1
27674	3181	1
27674	3187	1
27677	3679	1
27683	3706	1
27683	3707	1
27683	3708	1
27688	3714	1
27697	3734	1
27698	3734	1
27698	3736	1
27698	3737	1
27704	3753	1
27705	3753	1
27705	3754	1
27885	3783	1
27885	3784	1
27895	3785	1
27895	3786	1
27895	3788	1
27936	3792	1
