from_id	to_id	weight
27713	13663	1
27713	503	1
27714	12436	1
27714	504	1
27717	505	1
27717	507	1
27717	508	1
27720	11659	1
27720	500	1
27720	510	1
27720	511	1
27721	13777	1
27721	512	1
27725	5139	1
27725	11726	1
27725	12809	1
27733	9730	1
27733	523	1
27733	524	1
27735	6061	1
27735	527	1
27736	4541	1
27736	528	1
27736	529	1
27736	530	1
27736	531	1
27737	13435	1
27737	5138	1
27737	10275	1
27737	533	1
27739	8802	1
27739	12123	1
27739	12124	1
27739	12728	1
27739	13828	1
27739	535	1
27741	13720	1
27741	536	1
27742	13720	1
27742	536	1
27744	498	1
27744	538	1
27744	539	1
27747	9823	1
27747	9824	1
27747	543	1
27751	13542	1
27751	13572	1
27751	547	1
27751	548	1
27754	12967	1
27754	13181	1
27754	554	1
27755	14425	1
27755	308	1
27755	555	1
27755	556	1
27755	557	1
27756	2616	1
27756	8080	1
27756	8142	1
27760	3320	1
27760	14074	1
27760	308	1
27760	561	1
27760	562	1
27761	1695	1
27761	243	1
27761	563	1
27761	564	1
27761	565	1
27761	566	1
27761	567	1
27762	568	1
27763	9234	1
27763	9647	1
27770	8238	1
27770	574	1
27773	13765	1
27773	577	1
27773	578	1
27773	579	1
27773	580	1
27773	581	1
27774	1508	1
27774	582	1
27774	583	1
27776	2905	1
27776	585	1
27777	8400	1
27777	13765	1
27777	13857	1
27777	14194	1
27777	577	1
27777	581	1
27777	586	1
27777	587	1
27777	588	1
27777	589	1
27779	591	1
27779	592	1
27780	13857	1
27780	14194	1
27780	577	1
27780	581	1
27780	593	1
27781	8754	1
27781	9629	1
27781	594	1
27785	9415	1
27785	14178	1
27785	14224	1
27786	9783	1
27786	600	1
27788	12732	1
27788	602	1
27789	5877	1
27789	603	1
27790	1827	1
27790	13136	1
27790	604	1
27791	10316	1
27791	605	1
27794	1730	1
27794	13193	1
27794	611	1
27816	473	1
27816	474	1
27816	638	1
27816	639	1
27816	640	1
27816	641	1
27816	642	1
27816	643	1
27816	644	1
27817	1457	1
27817	3017	1
27817	3778	1
27817	645	1
27817	646	1
27818	1640	1
27818	647	1
27818	648	1
27818	649	1
27820	11659	1
27820	651	1
27824	12961	1
27824	656	1
27825	592	1
27828	3844	1
27828	13229	1
27828	663	1
27831	12961	1
27831	666	1
27831	667	1
27831	668	1
27831	669	1
27832	13303	1
27832	13895	1
27832	670	1
27832	671	1
27834	5797	1
27834	6584	1
27834	8293	1
27834	672	1
27834	673	1
27834	674	1
27839	3756	1
27839	678	1
27839	681	1
27843	685	1
27843	686	1
27844	685	1
27844	687	1
27844	688	1
27856	3237	1
27856	9692	1
27858	10327	1
27858	10328	1
27858	10329	1
27858	13757	1
27858	703	1
27858	704	1
27858	705	1
27861	12707	1
27861	709	1
27861	710	1
27861	711	1
27864	14216	1
27864	714	1
27864	715	1
27871	5563	1
27871	14448	1
27871	719	1
27872	12740	1
27872	720	1
27874	11700	1
27874	4058	1
27874	8201	1
27874	721	1
27877	13857	1
27877	14194	1
27877	581	1
27877	700	1
27881	9349	1
27881	9353	1
27881	726	1
27882	9349	1
27882	9353	1
27882	726	1
27883	5236	1
27883	727	1
27883	728	1
27888	9425	1
27888	9426	1
27897	735	1
27897	736	1
27898	9430	1
27898	9431	1
27898	9432	1
27898	9482	1
27898	737	1
27898	738	1
27903	9365	1
27903	13988	1
27909	9783	1
27909	600	1
27909	745	1
27909	746	1
27911	9783	1
27911	748	1
27911	749	1
27914	11466	1
27914	10560	1
27914	10562	1
27915	13663	1
27915	616	1
27915	753	1
27917	13663	1
27917	616	1
27917	753	1
27928	13719	1
27928	13720	1
27928	510	1
27928	511	1
27928	764	1
27930	4475	1
27930	4555	1
27931	9346	1
27931	9516	1
27934	14279	1
27934	9586	1
27934	9849	1
27934	13016	1
27934	13039	1
27935	3300	1
27935	5034	1
27935	8139	1
27935	767	1
27940	3756	1
27940	221	1
27940	770	1
27943	13656	1
27943	13657	1
27943	36	1
27950	12251	1
27950	12323	1
27950	13663	1
27950	779	1
27952	3237	1
27952	7771	1
27952	14353	1
27952	784	1
27952	785	1
27954	3835	1
27954	9556	1
27954	516	1
27959	4106	1
27959	343	1
27959	634	1
27959	788	1
27959	789	1
27961	4786	1
27961	102	1
27961	792	1
27970	1725	1
27970	10261	1
27989	5032	1
27989	9330	1
27989	12842	1
27989	825	1
27992	5776	1
27992	8132	1
27997	13663	1
27997	831	1
27997	832	1
27999	3237	1
27999	12752	1
28000	13713	1
28000	823	1
28000	834	1
28000	835	1
28002	13469	1
28002	5877	1
28002	838	1
28012	5032	1
28012	12841	1
28012	12842	1
28012	844	1
28015	839	1
28015	846	1
28022	14163	1
28022	3311	1
28022	4917	1
28024	1	1
28024	9772	1
28024	9775	1
28026	9772	1
28026	9773	1
28026	9775	1
28028	9328	1
28028	856	1
28032	9772	1
28032	9773	1
28032	9775	1
28032	858	1
28039	14082	1
28039	2896	1
28039	5058	1
28039	860	1
28045	9563	1
28045	13015	1
28045	866	1
28045	867	1
28046	7159	1
28046	12662	1
28046	868	1
28054	11659	1
28054	13719	1
28054	499	1
28054	879	1
28058	2819	1
28058	6333	1
28061	9270	1
28061	12831	1
28061	888	1
28061	889	1
28061	890	1
28063	9560	1
28063	891	1
28063	893	1
28064	9743	1
28064	9744	1
28066	3223	1
28066	372	1
28068	3223	1
28068	5375	1
28068	372	1
28068	897	1
28069	3300	1
28069	767	1
28077	592	1
28077	906	1
28079	6345	1
28079	16	1
28079	909	1
28079	910	1
28080	2247	1
28080	911	1
28080	912	1
28085	14318	1
28085	1505	1
28085	13679	1
28089	9556	1
28089	12967	1
28089	14397	1
28089	613	1
28103	13341	1
28103	5008	1
28103	6064	1
28108	5008	1
28108	5869	1
28108	6064	1
28108	10291	1
28108	10293	1
28108	937	1
28111	5043	1
28111	13614	1
28114	2851	1
28114	5360	1
28117	3237	1
28117	498	1
28117	940	1
28119	9709	1
28119	12448	1
28120	10261	1
28120	630	1
28120	942	1
28120	943	1
28122	9342	1
28122	9388	1
28122	9427	1
28124	1695	1
28124	565	1
28127	9446	1
28132	6031	1
28132	6032	1
28132	6033	1
28132	8288	1
28132	8289	1
28132	13012	1
28132	946	1
28133	6033	1
28133	947	1
28136	13405	1
28136	14318	1
28136	1918	1
28136	950	1
28139	12404	1
28139	952	1
28139	953	1
28141	14310	1
28141	6056	1
28141	955	1
28147	5797	1
28147	6584	1
28147	8293	1
28161	12165	1
28161	966	1
28162	4109	1
28162	4110	1
28162	4116	1
28163	9439	1
28163	9490	1
28163	9491	1
28165	12310	1
28165	12311	1
28165	970	1
28166	12695	1
28166	971	1
28167	2247	1
28167	10743	1
28174	3300	1
28174	5034	1
28174	767	1
28174	819	1
28178	13097	1
28178	984	1
28178	985	1
28189	992	1
28189	993	1
28193	5760	1
28193	997	1
28195	7136	1
28195	684	1
28195	999	1
28196	5877	1
28196	1000	1
28196	1001	1
28201	9630	1
28201	1007	1
28212	9776	1
28212	13694	1
28213	9776	1
28213	13694	1
28214	4796	1
28214	592	1
28214	1014	1
28223	1021	1
28223	1023	1
28223	1024	1
28223	1025	1
28225	9372	1
28225	9373	1
28225	592	1
28225	1027	1
28226	10794	1
28226	1029	1
28235	1531	1
28235	8156	1
28238	9728	1
28238	13075	1
28238	13964	1
28238	13965	1
28240	9728	1
28240	11762	1
28240	13075	1
28240	13965	1
28240	1040	1
28241	6064	1
28241	8139	1
28241	1041	1
28242	5869	1
28242	6737	1
28242	13711	1
28242	625	1
28246	6123	1
28246	13041	1
28250	2819	1
28250	1048	1
28251	13168	1
28253	3711	1
28253	7109	1
28253	13724	1
28253	1050	1
28253	1051	1
28255	7668	1
28255	8139	1
28266	6031	1
28266	6033	1
28266	1062	1
28267	9493	1
28267	1063	1
28270	10544	1
28270	1064	1
28270	1065	1
28275	12117	1
28275	3837	1
28275	1068	1
28293	13074	1
28293	961	1
28293	1083	1
28295	3835	1
28295	13045	1
28298	13989	1
28298	14324	1
28298	14356	1
28298	14381	1
28299	13116	1
28299	13945	1
28323	2761	1
28323	13131	1
28323	13236	1
28326	11708	1
28326	896	1
28327	11708	1
28327	8684	1
28327	9744	1
28327	896	1
14982	11767	1
14982	96	1
15096	5384	1
15096	2101	1
15602	9363	1
15602	9513	1
15602	2582	1
15602	2967	1
15603	12519	1
15603	12959	1
15603	2680	1
15608	3515	1
15608	3935	1
15608	2888	1
15613	8142	1
15613	8160	1
15613	8163	1
15613	1026	1
15616	11675	1
15616	9364	1
15616	4151	1
15618	7147	1
15618	12461	1
15621	7147	1
15621	4154	1
15622	12715	1
15622	1299	1
15624	12715	1
15624	1299	1
15628	9374	1
15628	9375	1
15628	12519	1
15628	14117	1
15631	2864	1
15631	2865	1
15631	3075	1
15631	4157	1
15636	3086	1
15636	3087	1
15636	3088	1
15640	10395	1
15640	11684	1
15642	10794	1
15642	813	1
15642	4161	1
15655	3402	1
15655	3549	1
15655	6340	1
15660	3014	1
15660	3146	1
15661	8238	1
15661	13614	1
15661	901	1
15661	902	1
15662	4171	1
15663	8238	1
15663	1065	1
15663	4172	1
15668	1358	1
15670	8166	1
15672	8365	1
15672	9826	1
15672	4175	1
15678	12404	1
15678	952	1
15680	10794	1
15680	14024	1
15680	1065	1
15680	4161	1
15680	4179	1
15687	7147	1
15687	4184	1
15690	10794	1
15690	1029	1
15691	4187	1
15693	9709	1
15693	12959	1
15693	4189	1
15694	9709	1
15694	12959	1
15694	4189	1
15702	10544	1
15702	1064	1
15702	1065	1
15704	9709	1
15704	12448	1
15704	4192	1
15705	1710	1
15705	11762	1
15705	13075	1
15705	13965	1
15706	1710	1
15706	11762	1
15706	13075	1
15706	13965	1
15706	4193	1
15806	1850	1
15806	14387	1
15806	9782	1
15810	12149	1
15810	13411	1
15810	4347	1
15814	3274	1
15820	2919	1
15820	2920	1
15821	6939	1
15821	11014	1
15821	4354	1
15821	4355	1
15824	9745	1
15841	592	1
15844	4942	1
15844	4367	1
15852	4372	1
15852	4373	1
15856	12768	1
15856	13382	1
15856	13383	1
15856	13386	1
15856	13412	1
15858	12564	1
15859	12564	1
15867	300	1
15867	2341	1
15867	2342	1
15867	2343	1
15874	9802	1
15874	12586	1
15874	12609	1
15874	4389	1
15888	12167	1
15888	2111	1
15889	6281	1
15889	12613	1
15889	12614	1
15899	14163	1
15899	3311	1
15899	5034	1
15904	5117	1
15918	14298	1
15918	12555	1
15918	1308	1
15918	1311	1
15928	12695	1
15928	971	1
15938	6782	1
15938	13377	1
15939	6782	1
15939	13377	1
15943	2851	1
15943	4418	1
15945	5515	1
