node	label
1	3
8	3
14	1
15	1
27	0
31	2
34	3
36	1
39	0
48	2
52	1
59	1
61	0
62	0
65	0
83	0
84	2
87	0
99	3
102	1
103	3
120	1
125	2
127	0
128	2
129	1
130	1
135	2
139	1
143	2
144	1
147	0
150	3
151	3
154	2
157	3
169	0
171	3
174	3
175	3
176	0
179	1
185	2
186	3
204	3
205	3
208	1
209	1
215	3
216	3
219	3
232	0
240	1
246	0
247	0
248	3
255	3
267	3
272	3
274	3
281	0
282	0
287	2
294	1
300	3
306	3
308	3
310	3
311	3
315	3
318	0
320	0
323	3
331	0
332	3
341	1
347	3
349	1
352	3
364	0
368	0
371	0
372	3
373	0
375	0
381	0
388	0
392	0
393	0
398	0
400	0
403	0
407	0
413	0
417	0
419	0
421	0
425	0
429	0
431	0
432	0
433	0
435	0
438	0
439	0
441	3
445	0
450	0
456	0
459	0
466	0
472	0
479	0
484	0
502	1
503	1
504	1
506	3
508	3
510	3
512	0
515	0
521	3
522	2
526	0
536	3
537	1
539	3
542	3
543	1
544	3
550	3
551	0
554	0
561	3
565	3
568	1
570	3
573	3
574	3
576	3
578	3
580	3
583	1
585	3
590	0
592	1
595	3
596	3
597	0
598	0
600	3
602	3
605	1
611	3
612	0
617	0
620	3
623	0
626	1
630	1
632	3
634	0
636	1
638	0
639	0
643	0
646	0
651	3
657	0
670	0
674	1
675	0
679	3
680	3
684	3
685	3
686	3
694	1
696	3
697	3
702	3
710	3
719	1
721	3
722	0
726	0
727	0
735	3
736	3
738	0
739	2
741	1
742	2
743	1
744	1
745	0
753	0
754	0
755	1
759	3
766	3
767	3
769	3
776	3
784	3
786	3
793	0
796	3
805	3
810	0
814	3
815	1
832	1
834	0
838	0
846	3
849	3
852	3
856	1
864	1
867	0
868	3
873	0
876	3
877	0
880	3
885	1
891	3
896	0
898	0
904	0
910	3
914	3
915	1
928	0
931	3
939	3
947	3
948	3
950	3
955	1
958	3
966	3
971	3
977	3
983	1
987	3
989	0
991	0
993	1
994	3
997	3
1000	0
1005	0
1007	3
1010	3
1014	0
1015	0
1016	3
1019	3
1022	3
1024	0
1029	3
1035	1
1036	0
1048	3
1056	3
1059	0
1063	3
1064	3
1065	3
1068	3
1071	1
1074	3
1078	1
1082	3
1083	0
1084	3
1091	0
1092	3
1093	3
1094	0
1096	3
1104	3
1106	3
1108	1
1110	3
1112	3
1113	3
1117	3
1118	3
1121	3
1127	1
1139	3
1140	3
1149	0
1160	3
1167	3
1169	1
1172	0
1174	0
1180	0
1182	3
1185	3
1190	3
1192	3
1199	3
1202	3
1204	3
1207	3
1213	2
1231	3
1233	3
1234	3
1239	3
1240	3
1244	3
1248	3
1251	1
1253	1
