from_id	to_id	weight
12284	3165	1
8424	4682	1
19545	4572	1
21327	4038	1
21495	2870	1
11066	4674	1
14942	3297	1
24493	3535	1
21280	4594	1
24118	3381	1
31111	3222	1
14242	4197	1
15404	3486	1
10950	3879	1
5647	3347	1
28017	4515	1
28595	2886	1
20766	4279	1
26319	3348	1
12883	4214	1
16205	4530	1
19480	4358	1
18485	3467	1
19365	4292	1
6156	4360	1
5743	4641	1
33178	4303	1
34896	2922	1
6422	4511	1
23422	3633	1
7532	2789	1
35052	3822	1
5685	3143	1
23089	3590	1
15175	2750	1
12570	3622	1
19086	2814	1
11604	3591	1
25294	4441	1
5821	4698	1
15447	3525	1
30141	4577	1
5943	2776	1
18354	4508	1
34490	3354	1
29286	3632	1
17958	2870	1
15195	3771	1
9198	3455	1
22496	3878	1
8669	3486	1
17936	4495	1
24503	4277	1
12455	2935	1
10128	4313	1
33029	3132	1
33525	3680	1
15399	2817	1
5570	2932	1
21544	3736	1
13592	4515	1
15019	3525	1
6519	4396	1
23967	3416	1
26329	4418	1
13074	3048	1
5717	3452	1
23292	3405	1
12456	4539	1
9874	3457	1
7499	3896	1
22228	3088	1
21273	4140	1
33357	3929	1
28834	2906	1
7222	4689	1
8427	3055	1
8471	2726	1
9848	3062	1
6206	3897	1
34208	2817	1
15184	4654	1
6247	3386	1
28920	3248	1
9382	3835	1
7442	4000	1
9866	3594	1
23984	3525	1
23079	4241	1
17235	2880	1
6530	3685	1
32153	2845	1
12335	4515	1
26350	4411	1
29851	3235	1
28745	4502	1
29744	2935	1
8271	4006	1
13936	2958	1
26908	3888	1
34340	4335	1
14730	4145	1
6931	4213	1
17090	3104	1
10241	3024	1
14471	3704	1
26990	3660	1
18483	3145	1
24795	3632	1
19612	3864	1
18877	4379	1
34805	3549	1
23835	4156	1
8596	4511	1
27542	3234	1
30886	2862	1
11909	3583	1
23549	3887	1
19844	4424	1
7163	4205	1
24133	4129	1
12502	3810	1
13252	3222	1
23252	3183	1
14025	3590	1
31533	4273	1
25032	4498	1
11372	3315	1
16243	3222	1
32509	4689	1
9336	4674	1
23805	2817	1
16102	2705	1
24213	4087	1
14771	4283	1
33534	3939	1
35159	3661	1
19736	3458	1
17060	4313	1
14662	3194	1
11154	3395	1
9280	3757	1
25068	4422	1
10860	4019	1
16759	2829	1
22960	3612	1
34950	3768	1
27279	4515	1
31146	3637	1
35225	2771	1
32072	4519	1
22423	2993	1
29153	4358	1
19541	3250	1
27331	2709	1
27023	3302	1
21021	4668	1
20352	2957	1
6644	4152	1
14525	4655	1
22934	2737	1
7008	4250	1
23300	3037	1
6782	3889	1
24780	3402	1
8920	2987	1
12081	3525	1
27748	3144	1
29592	3256	1
13730	3248	1
25325	2879	1
