from_id	to_id	weight
22643	4264	1
16994	3953	1
35165	4269	1
31808	3809	1
8741	3731	1
17696	4471	1
18688	4245	1
15808	4158	1
24060	4621	1
27163	4224	1
5208	3031	1
25155	2826	1
35090	3332	1
10286	3499	1
4992	4349	1
7067	3161	1
32304	2805	1
14279	4162	1
10294	4329	1
16800	3106	1
18095	3298	1
8036	2855	1
24288	4433	1
27389	4100	1
9749	3838	1
17016	4545	1
19981	4478	1
14020	4389	1
11452	2743	1
29454	2705	1
26680	3201	1
15210	3991	1
11320	4475	1
29573	2926	1
14530	3581	1
4712	3803	1
32656	4559	1
23097	2711	1
27113	3544	1
7340	4137	1
6089	3748	1
12079	4536	1
15189	3660	1
17636	3913	1
33771	4254	1
30061	3680	1
21755	3294	1
28798	3083	1
21056	4596	1
15028	3684	1
17452	3358	1
29926	4531	1
23266	3496	1
25834	3355	1
11537	3933	1
11002	3161	1
8950	2745	1
29021	3657	1
15887	2749	1
35057	3301	1
17799	4692	1
24450	3057	1
13426	3502	1
30184	3839	1
15361	3818	1
14658	3627	1
10908	4254	1
25192	3979	1
9815	3055	1
31786	3148	1
11441	3063	1
20691	4007	1
28035	4366	1
14876	4547	1
14108	3832	1
6628	3310	1
11229	3366	1
13283	2746	1
29789	4065	1
5237	3627	1
14923	3847	1
26734	3439	1
12980	3707	1
22781	4203	1
7795	4122	1
8106	3933	1
31869	4291	1
10920	2756	1
10394	4428	1
7427	2830	1
14641	2870	1
14419	3424	1
13466	3161	1
9396	3262	1
33784	3145	1
16925	4410	1
31540	3043	1
14514	3678	1
24879	3282	1
26229	2822	1
20857	3418	1
30217	3036	1
8752	4493	1
16887	3057	1
20893	3566	1
26072	2724	1
28111	4451	1
10566	4637	1
26563	2907	1
10581	4641	1
15647	4534	1
16462	4612	1
18668	3640	1
18033	3450	1
28693	2724	1
27826	4621	1
6917	4683	1
32620	3540	1
21845	3618	1
8247	3069	1
17044	3930	1
18094	3309	1
34630	2958	1
25238	3524	1
13539	2769	1
15308	3094	1
23185	3685	1
16593	2705	1
13797	4451	1
31183	4125	1
34708	3545	1
35008	3417	1
25342	3337	1
5772	3826	1
10452	4443	1
9717	4196	1
28004	4254	1
14966	3567	1
33012	2693	1
19168	2772	1
29622	3663	1
5710	3404	1
24537	3255	1
19738	2907	1
6317	3403	1
14030	4580	1
5625	4638	1
6665	4366	1
23565	4130	1
32230	3890	1
16019	4220	1
27736	4144	1
25003	2743	1
13877	3835	1
26508	3410	1
15847	4245	1
33293	4656	1
28929	3215	1
33965	3546	1
16740	3113	1
33509	4618	1
6529	3036	1
9733	4062	1
13166	3923	1
13223	2870	1
8845	4114	1
15639	3552	1
4706	3415	1
32054	4139	1
6908	2877	1
8009	4056	1
25691	3032	1
33615	3597	1
27098	2728	1
29412	3181	1
8130	3822	1
26147	3722	1
19609	3880	1
28467	2743	1
31954	3128	1
12629	4269	1
6435	3946	1
9473	2728	1
22660	3903	1
8206	3415	1
13953	2855	1
25719	4056	1
11598	3104	1
29114	4251	1
7825	3236	1
5276	2898	1
5744	4364	1
21987	4176	1
33667	3174	1
26335	4547	1
35151	3971	1
8447	4484	1
30319	2982	1
19817	3933	1
11708	3792	1
24339	3846	1
21297	2848	1
24760	2950	1
19895	2978	1
31001	4142	1
17182	3147	1
10966	4139	1
21071	4560	1
9840	3026	1
14577	3062	1
29179	4504	1
5553	4263	1
16780	4415	1
18641	2705	1
14821	2821	1
11530	4640	1
16452	3926	1
8682	2842	1
21204	4451	1
34636	4366	1
15803	4067	1
30840	4682	1
10099	4428	1
28782	2733	1
24105	4213	1
13619	3211	1
7757	3069	1
22882	3524	1
18313	3122	1
29782	4615	1
23594	4424	1
13192	3768	1
6114	4509	1
24582	4252	1
27341	3746	1
25166	4369	1
30264	4389	1
20906	3889	1
