method,k,operator,f1,micro_f1,macro_f1,recall,micro_recall,macro_recall,precision,micro_precision,macro_precision
GCN,1,sigmoid,0.36352038157051275,0.36490683229813664,0.34296972262225,0.3096179183135705,0.3096179183135705,0.2920810954968657,0.44693171238558416,0.444234404536862,0.4232089436228207
GCN,2,sigmoid,0.4554037255019106,0.445789763346175,0.43829440593303176,0.5335968379446641,0.5335968379446641,0.5280788213046662,0.40545916849481817,0.3827977315689981,0.38242620047335757
GCN,3,sigmoid,0.47066658537656286,0.4595055413469736,0.45381310471684433,0.7101449275362319,0.7101449275362319,0.7095167720782039,0.3591586066023236,0.33963453056080656,0.3402846112837465
GCN,4,sigmoid,0.4639471551055178,0.44939130434782604,0.44753833650277064,0.8511198945981555,0.8511198945981555,0.8586912251487234,0.32571015879689613,0.3052930056710775,0.30886792024149273
GCN,5,sigmoid,0.46084193524724204,0.44594594594594594,0.44167144466818276,1.0,1.0,1.0,0.30338147647262464,0.28695652173913044,0.28695652173913044
GCN,1,HAD,0.1595455340053059,0.2236024844720497,0.15772801105234385,0.18972332015810275,0.18972332015810275,0.20590018346955263,0.28180293569762427,0.2722117202268431,0.2584402230549212
GCN,2,HAD,0.3026161432536674,0.3258117776554761,0.28737061079200504,0.38998682476943347,0.38998682476943347,0.394627723144469,0.291959415307192,0.27977315689981097,0.27196465202707404
GCN,3,HAD,0.3830882257099008,0.3861892583120205,0.36497922668218025,0.5968379446640316,0.5968379446640316,0.593673495295561,0.2972338580342515,0.28544423440453687,0.2795771180933396
GCN,4,HAD,0.43693665132320636,0.4250434782608696,0.41683925048440934,0.8050065876152833,0.8050065876152833,0.799627016097033,0.3053876425266173,0.2887523629489603,0.28731516745868346
GCN,5,HAD,0.46084193524724204,0.44594594594594594,0.44167144466818276,1.0,1.0,1.0,0.30338147647262464,0.28695652173913044,0.28695652173913044
GCN,1,AVG,0.06386869022116284,0.1956521739130435,0.07694656488549619,0.16600790513833993,0.16600790513833993,0.2,0.039540635250341835,0.2381852551984877,0.047637051039697544
GCN,2,AVG,0.12865627979666333,0.27848101265822783,0.15438558927574006,0.3333333333333333,0.3333333333333333,0.4,0.07971139022343099,0.2391304347826087,0.09565217391304348
GCN,3,AVG,0.2421394321814175,0.3640238704177323,0.25338985670106007,0.5625823451910409,0.5625823451910409,0.6,0.15511654724279034,0.26906112161310647,0.16143667296786388
GCN,4,AVG,0.4032572315272726,0.4452173913043478,0.3682146545447259,0.8432147562582345,0.8432147562582345,0.8,0.2681122061413012,0.30245746691871456,0.24196597353497165
GCN,5,AVG,0.46084193524724204,0.44594594594594594,0.44167144466818276,1.0,1.0,1.0,0.30338147647262464,0.28695652173913044,0.28695652173913044
GCN,1,L1,0.3672632586037482,0.3695652173913043,0.34944085355539445,0.31357048748353095,0.31357048748353095,0.3019704026440457,0.4662549711565643,0.4499054820415879,0.4417399172346303
GCN,2,L1,0.43904866230888223,0.4336818932305999,0.4213650991659872,0.5191040843214756,0.5191040843214756,0.5116529333641883,0.39033918228027403,0.3724007561436673,0.36850561026139095
GCN,3,L1,0.4631023616173138,0.45268542199488493,0.44622481345580844,0.6996047430830039,0.6996047430830039,0.699764137202188,0.35366226639352205,0.33459357277882795,0.3348145536533914
GCN,4,L1,0.46488412645258936,0.44939130434782604,0.4462027071290895,0.8511198945981555,0.8511198945981555,0.8540986825551187,0.3261600180324715,0.3052930056710775,0.30785397176853674
GCN,5,L1,0.46084193524724204,0.44594594594594594,0.44167144466818276,1.0,1.0,1.0,0.30338147647262464,0.28695652173913044,0.28695652173913044
GCN,1,L2,0.36488507835221606,0.3695652173913043,0.34750948159644734,0.31357048748353095,0.31357048748353095,0.30046773715037467,0.4582869995018342,0.4499054820415879,0.4380834364712519
GCN,2,L2,0.4368106030646429,0.43037974683544306,0.4191981325221157,0.5151515151515151,0.5151515151515151,0.508634496924207,0.38939101483487193,0.3695652173913043,0.3671087151718493
GCN,3,L2,0.4650610866744661,0.45524296675191817,0.44966467927038306,0.7035573122529645,0.7035573122529645,0.7067048264111688,0.3558780748332717,0.33648393194706994,0.33798750563234237
GCN,4,L2,0.45796848575253846,0.4445217391304348,0.44267268779334723,0.841897233201581,0.841897233201581,0.8523791720418286,0.32162121734771965,0.30198487712665406,0.3055196621123231
