method,k,operator,f1,micro_f1,macro_f1,recall,micro_recall,macro_recall,precision,micro_precision,macro_precision
GCN,1,sigmoid,0.4369851901980683,0.4529616724738676,0.43629961383556437,0.4088050314465409,0.4088050314465409,0.40755977476143496,0.5299630927584267,0.5078125,0.5300060435132957
GCN,2,sigmoid,0.5554228758451121,0.5574297188755021,0.5554150122524931,0.7274633123689728,0.7274633123689728,0.7278119463953595,0.4566686678191512,0.4518229166666667,0.4565254173724635
GCN,3,sigmoid,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
GCN,1,HAD,0.40652387505487503,0.42624854819976765,0.40581620430810367,0.38469601677148846,0.38469601677148846,0.38336934935151984,0.49744227793395274,0.4778645833333333,0.49769978493389616
GCN,2,HAD,0.5477441556387949,0.5526104417670683,0.5474100679723696,0.7211740041928721,0.7211740041928721,0.7199269254574271,0.4502082228535077,0.4479166666666667,0.4503139572797045
GCN,3,HAD,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
GCN,1,AVG,0.19626074495804233,0.3704994192799071,0.1956455075130328,0.33438155136268344,0.33438155136268344,0.3333333333333333,0.13889025375611458,0.4153645833333333,0.1384548611111111
GCN,2,AVG,0.39462517831389937,0.5140562248995985,0.39215606765995653,0.6708595387840671,0.6708595387840671,0.6666666666666666,0.279527537561146,0.4166666666666667,0.27777777777777773
GCN,3,AVG,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
GCN,1,L1,0.4381334725398264,0.4436701509872242,0.4376555963166238,0.40041928721174,0.40041928721174,0.3995844468276119,0.50727588652403,0.4973958333333333,0.5073322522842715
GCN,2,L1,0.5505443547095381,0.5526104417670683,0.550470267107385,0.7211740041928721,0.7211740041928721,0.7208579656005712,0.4481927871094056,0.4479166666666667,0.44822081111109063
GCN,3,L1,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
GCN,1,L2,0.45471970877733786,0.4587688734030197,0.4543497117199857,0.4140461215932914,0.4140461215932914,0.4133255514433786,0.530375551529296,0.5143229166666666,0.5304707741682532
GCN,2,L2,0.5547354135327456,0.5550200803212851,0.5547813799041491,0.7243186582809225,0.7243186582809225,0.7247248798562403,0.4506902002110029,0.4498697916666667,0.4505969926375211
GCN,3,L2,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
GAT,1,sigmoid,0.3139956584252367,0.3774680603948896,0.31251818634486533,0.34067085953878407,0.34067085953878407,0.3390951187176742,0.39890774864017714,0.4231770833333333,0.39847303443794674
GAT,2,sigmoid,0.5012825875740192,0.5140562248995985,0.5016304262378971,0.6708595387840671,0.6708595387840671,0.671886174661381,0.4217155318729934,0.4166666666666667,0.4216206501038224
GAT,3,sigmoid,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
GAT,1,HAD,0.198364433355857,0.3728222996515679,0.19651056014692378,0.33647798742138363,0.33647798742138363,0.3333333333333333,0.14063728380503146,0.41796875,0.13932291666666666
